PassengerId,Survived,Pclass,Age,Fare,Fare_log,Sex_male,FamilySize,IsAlone
1,0,3,-0.5634371535308087,-0.566959029048866,2.1102132003465894,True,1,0
2,1,1,0.6645282281612983,0.9890156964692443,4.2805931204649,False,1,0
3,1,3,-0.25644580810778195,-0.550556892352417,2.188856327665703,False,0,1
4,1,1,0.4342847190940282,0.5471712932210367,3.9908341858524357,False,1,0
5,0,3,0.4342847190940282,-0.5475194596308524,2.2027647577118348,True,0,1
6,0,3,-0.10295013539626859,-0.5375979893891337,2.246892662898172,True,0,1
7,0,1,1.8924936098534053,0.5171007092775469,3.967694202798607,True,0,1
8,0,3,-2.0983938806459426,-0.23101897004381902,3.094445746490024,True,4,0
9,1,3,-0.17969797175202526,-0.4725969291476509,2.4959537387180646,False,2,0
10,1,2,-1.1774198443768622,-0.012425871830610958,3.436268471383741,False,1,0
11,1,3,-1.944898207934429,-0.33732911529858073,2.8735646395797834,False,2,0
12,1,1,2.199484955276432,-0.09797941683928862,3.3160025355989236,False,0,1
13,0,3,-0.7169328262423221,-0.5475194596308524,2.2027647577118348,True,0,1
14,0,3,0.741276064517055,0.016835540035853972,3.4742929367327062,True,6,0
15,0,3,-1.1774198443768622,-0.5522772942459113,2.180891922715322,False,0,1
16,1,2,1.969241446209162,-0.35433873853934256,2.833213344056216,False,0,1
17,0,3,-2.0983938806459426,-0.035408302775057465,3.405355391810819,True,5,0
18,1,2,-0.10295013539626859,-0.42723712385689344,2.639057329615259,True,0,1
19,0,3,0.1272933736710015,-0.30573981499430863,2.9444389791664403,False,1,0
20,1,3,-0.10295013539626859,-0.5675665155931788,2.1071782966514356,False,0,1
21,0,2,0.4342847190940282,-0.11134412081417297,3.295836866004329,True,0,1
22,1,2,0.35753688273827156,-0.42723712385689344,2.639057329615259,True,0,1
23,1,3,-1.1006720080211054,-0.5480248884357208,2.2004637699272855,False,0,1
24,1,1,-0.10295013539626859,0.11950076602473816,3.597312260588446,True,0,1
25,0,3,-1.6379068625114024,-0.23101897004381902,3.094445746490024,False,4,0
26,1,3,0.6645282281612983,0.019569229485262147,3.4777725458882283,False,6,0
27,0,3,-0.10295013539626859,-0.5675665155931788,2.1071782966514356,True,0,1
28,0,1,-0.7936806625980788,5.647628319272346,5.575949103146316,True,5,0
29,1,3,-0.10295013539626859,-0.5516698077015983,2.1837114628556327,False,0,1
30,0,3,-0.10295013539626859,-0.5512664366361745,2.1855792552411137,True,0,1
31,0,1,0.8180239008728116,-0.06952960699602577,3.357621598945279,True,0,1
32,1,1,-0.10295013539626859,2.8172464515789897,4.993969182787072,False,1,0
33,1,3,-0.10295013539626859,-0.5548092981626075,2.169053700369523,False,0,1
34,0,2,2.8134676461224855,-0.48798577828818585,2.4423470353692043,True,0,1
35,0,1,-0.10295013539626859,1.2535760865175227,4.420896324687287,True,1,0
36,0,1,0.9715195735843251,0.520441885271268,3.970291913552122,True,1,0
37,1,3,-0.10295013539626859,-0.5674644578537343,2.1076888046179385,True,0,1
38,0,3,-0.6401849898865654,-0.5475194596308524,2.2027647577118348,True,0,1
39,0,3,-0.8704284989538355,-0.30573981499430863,2.9444389791664403,False,2,0
40,1,3,-1.1774198443768622,-0.46996286749151,2.5048481563289,False,1,0
41,0,3,0.8180239008728116,-0.5128927266050157,2.3489914658082016,False,1,0
42,0,2,-0.17969797175202526,-0.23284142967675778,3.091042453358316,False,1,0
43,0,3,-0.10295013539626859,-0.5512664366361745,2.1855792552411137,True,0,1
44,1,2,-2.021646044290186,0.26722205403222327,3.7513658711253766,False,3,0
45,1,3,-0.7936806625980788,-0.5516698077015983,2.1837114628556327,False,0,1
46,0,3,-0.10295013539626859,-0.5475194596308524,2.2027647577118348,True,0,1
47,0,3,-0.10295013539626859,-0.36648846942560104,2.803360380906535,True,1,0
48,1,3,-0.10295013539626859,-0.5548092981626075,2.169053700369523,False,0,1
49,0,3,-0.10295013539626859,-0.2163372352408642,3.121448204868825,True,2,0
50,0,3,-0.8704284989538355,-0.31059970734881204,2.9338568698359033,False,1,0
51,0,3,-1.714654698867159,0.22125476219715295,3.705920919968788,True,5,0
52,0,3,-0.6401849898865654,-0.5535943250739817,2.174751721484161,True,0,1
53,1,1,1.508754428074622,1.1213481353361947,4.353230991152628,False,1,0
54,1,2,-0.02620229904051189,-0.11134412081417297,3.295836866004329,False,1,0
55,0,1,2.7367198097667287,0.7629310741915692,4.142804513146981,True,1,0
56,1,1,-0.10295013539626859,0.11950076602473816,3.597312260588446,True,0,1
57,1,2,-0.6401849898865654,-0.48798577828818585,2.4423470353692043,False,0,1
58,0,3,-0.06457621721839024,-0.5674644578537343,2.1076888046179385,True,0,1
59,1,2,-1.8681503715786725,-0.06882006271226829,3.3586377672433594,False,3,0
60,0,3,-1.4076633534441323,0.3965146302314315,3.8691155044168695,True,7,0
61,0,3,-0.5634371535308087,-0.5674644578537343,2.1076888046179385,True,0,1
62,1,1,0.6645282281612983,1.200826814901743,4.394449154672439,False,0,1
63,0,1,1.201763082651595,1.2852674445612393,4.436455632600354,True,1,0
64,0,3,-1.944898207934429,-0.06517514344639078,3.3638415951183864,True,5,0
65,0,1,-0.10295013539626859,-0.06952960699602577,3.357621598945279,True,0,1
66,1,3,-0.10295013539626859,-0.3726653926081749,2.7878344138303452,True,2,0
67,1,2,-0.02620229904051189,-0.48798577828818585,2.4423470353692043,False,0,1
68,0,3,-0.7936806625980788,-0.5448878279208889,2.2146605719425225,True,0,1
69,1,3,-0.9471763353095921,-0.550556892352417,2.188856327665703,False,6,0
70,0,3,-0.25644580810778195,-0.5326360392951858,2.2682524139135403,True,2,0
71,0,2,0.20404121002675818,-0.48798577828818585,2.4423470353692043,True,0,1
72,0,3,-1.0239241716653489,0.3965146302314315,3.8691155044168695,False,7,0
73,0,2,-0.6401849898865654,1.0428803133803828,4.310799125385514,True,0,1
74,0,3,-0.25644580810778195,-0.3919008465472993,2.737880811060884,True,1,0
75,1,3,0.20404121002675818,0.6296874055081498,4.051711901657239,True,0,1
76,0,3,-0.33319364446353866,-0.5572392443398593,2.157559320943788,True,0,1
77,0,3,-0.10295013539626859,-0.5512664366361745,2.1855792552411137,True,0,1
78,0,3,-0.10295013539626859,-0.5475194596308524,2.2027647577118348,True,0,1
79,1,2,-2.188188849182178,-0.038445735496622085,3.4011973816621555,True,2,0
80,1,3,0.0505455373152448,-0.43999434128746484,2.600836116795061,False,0,1
81,0,3,-0.5634371535308087,-0.5244349709469613,2.302585092994046,True,0,1
82,1,3,-0.02620229904051189,-0.5122852400607029,2.3513752571634776,True,0,1
83,1,3,-0.10295013539626859,-0.5538980683461381,2.1733302571367834,False,0,1
84,0,1,-0.10295013539626859,0.401374522585935,3.8732821771117156,True,0,1
85,1,2,-0.9471763353095921,-0.48798577828818585,2.4423470353692043,False,0,1
86,1,3,0.28078904638251484,-0.3579836578052201,2.8243506567983707,False,3,0
87,0,3,-1.0239241716653489,0.09216387153065658,3.5660053559634015,True,4,0
88,0,3,-0.10295013539626859,-0.5475194596308524,2.2027647577118348,True,0,1
89,1,1,-0.48668931717505204,5.647628319272346,5.575949103146316,False,5,0
90,0,3,-0.4099414808192953,-0.5475194596308524,2.2027647577118348,True,0,1
91,0,3,-0.02620229904051189,-0.5475194596308524,2.2027647577118348,True,0,1
92,0,3,-0.7169328262423221,-0.5522772942459113,2.180891922715322,True,0,1
93,0,1,1.2785109190073518,0.7433894470341111,4.1299529896894684,True,1,0
94,0,3,-0.25644580810778195,-0.2431687009300775,3.0715352369694915,True,3,0
95,0,3,2.276232791632189,-0.566959029048866,2.1102132003465894,True,0,1
96,0,3,-0.10295013539626859,-0.5475194596308524,2.2027647577118348,True,0,1
97,0,1,3.197206827901269,0.09894828125754339,3.57386695198272,True,0,1
98,1,1,-0.48668931717505204,0.7964424619220475,4.164465907853638,True,1,0
99,1,2,0.35753688273827156,-0.18424250613172385,3.1780538303479458,False,1,0
100,0,2,0.35753688273827156,-0.11134412081417297,3.295836866004329,True,1,0
101,0,3,-0.10295013539626859,-0.5512664366361745,2.1855792552411137,False,0,1
102,0,3,-0.10295013539626859,-0.5512664366361745,2.1855792552411137,True,0,1
103,0,1,-0.6401849898865654,1.1349145248437906,4.360387947851531,True,1,0
104,0,3,0.28078904638251484,-0.5328377248278977,2.267393053825037,True,0,1
105,0,3,0.5877803918055416,-0.550556892352417,2.188856327665703,True,2,0
106,0,3,-0.10295013539626859,-0.5512664366361745,2.1855792552411137,True,0,1
107,1,3,-0.6401849898865654,-0.5572392443398593,2.157559320943788,False,0,1
108,1,3,-0.10295013539626859,-0.5542018116182946,2.1719067693519296,True,0,1
109,0,3,0.6645282281612983,-0.5512664366361745,2.1855792552411137,True,0,1
110,1,3,-0.10295013539626859,-0.15629812509332938,3.224857896545748,False,1,0
111,0,1,1.3552587553631086,0.520441885271268,3.970291913552122,True,0,1
112,0,3,-1.1390459261989838,-0.3919008465472993,2.737880811060884,False,1,0
113,0,3,-0.5634371535308087,-0.5475194596308524,2.2027647577118348,True,0,1
114,0,3,-0.7169328262423221,-0.5043879149846349,2.3818582738885534,False,1,0
115,0,3,-0.9471763353095921,-0.39180121875403195,2.738146075922933,False,0,1
116,0,3,-0.6401849898865654,-0.550556892352417,2.188856327665703,True,0,1
117,0,3,3.1588329097233907,-0.5548092981626075,2.169053700369523,True,0,1
118,0,2,-0.02620229904051189,-0.23284142967675778,3.091042453358316,True,1,0
119,0,1,-0.4099414808192953,5.271492090603203,5.515526544247129,True,1,0
120,0,3,-2.0983938806459426,0.016835540035853972,3.4742929367327062,False,6,0
121,0,2,-0.6401849898865654,1.0428803133803828,4.310799125385514,True,2,0
122,0,3,-0.10295013539626859,-0.5475194596308524,2.2027647577118348,True,0,1
123,0,2,0.2424151282046365,-0.012425871830610958,3.436268471383741,True,1,0
124,1,2,0.2424151282046365,-0.42723712385689344,2.639057329615259,False,0,1
125,0,1,1.8924936098534053,1.1349145248437906,4.360387947851531,True,1,0
126,1,3,-1.3309155170883755,-0.46996286749151,2.5048481563289,True,1,0
127,0,3,-0.10295013539626859,-0.5548092981626075,2.169053700369523,True,0,1
128,1,3,-0.4099414808192953,-0.5695906607588296,2.0969990034181696,True,0,1
129,1,3,-0.10295013539626859,-0.199835470751148,3.1509523813392697,False,2,0
130,0,3,1.201763082651595,-0.5736413810363081,2.076311648670908,True,0,1
131,0,3,0.28078904638251484,-0.5512664366361745,2.1855792552411137,True,0,1
132,0,3,-0.7169328262423221,-0.5718189214033693,2.085672091430472,True,0,1
133,0,3,1.3552587553631086,-0.390787931198118,2.740840023925201,False,1,0
134,1,2,-0.02620229904051189,-0.11134412081417297,3.295836866004329,False,1,0
